,NaN,Mean,Std,Min,Max,p_MW_corrected,univar_auc
original_firstorder_10Percentile,0,103.7497395833333,16.389932354705078,65.0,173.0,1.1196779447319477e-20,0.7605136436597112
original_firstorder_90Percentile,0,169.47500000000005,16.128432545523104,122.0,202.0,8.619999571202845e-28,0.8015331820446118
original_firstorder_Energy,0,88429189.74088542,21421510.442127284,42905084.0,160476822.0,1.8007733938909467e-32,0.8254220401837604
original_firstorder_Entropy,0,2.0116234180143215,0.24482123037176123,1.185400587,2.543025582,1.4752100162994136e-08,0.6696075718160183
original_firstorder_InterquartileRange,0,37.919921875,10.599420674638607,13.0,67.0,2.0947687303187934e-10,0.6871201638346156
original_firstorder_Kurtosis,0,2.597136506389322,0.7808916878469498,1.653174973,8.121144062,7.092441490531623e-08,0.6641445729783584
original_firstorder_Maximum,0,202.37239583333334,10.868509754865764,156.0,224.0,2.155520410327263e-15,0.7255770188741906
original_firstorder_MeanAbsoluteDeviation,0,20.792092189334635,4.561550357753478,9.52376079,32.13291417,1.2089841608738042e-08,0.6713510820833564
original_firstorder_Mean,0,136.8295674190757,16.794334523131166,94.03733333,188.3604444,1.1351236909681234e-32,0.8268721979299275
original_firstorder_Median,0,137.23372395833334,19.65543462338094,88.0,191.0,3.760956119261281e-33,0.8292522278186749
original_firstorder_Minimum,0,67.6875,10.610135126636035,32.0,119.0,0.0014293108071814658,0.6149831183926496
original_firstorder_Range,0,134.68489583333334,12.541235494702804,85.0,169.0,0.006295463141879502,0.606005424254165
original_firstorder_RobustMeanAbsoluteDeviation,0,15.704208151350265,4.133758787838696,5.778050405,26.9870821,1.0707542372120243e-09,0.6812032988321249
original_firstorder_RootMeanSquared,0,139.19034668727875,16.653514999831163,97.64457543,188.8425694,1.8007733938909467e-32,0.8260751646648585
original_firstorder_Skewness,0,-0.04844126853776041,0.49518831640924227,-1.960199443,1.232409565,1.6935373708487323e-25,0.7874190513090165
original_firstorder_TotalEnergy,0,88429189.74088542,21421510.442127284,42905084.0,160476822.0,1.8007733938909467e-32,0.8254220401837604
original_firstorder_Uniformity,0,0.28504250397526026,0.06236245466152856,0.184154667,0.572041383,1.1115680751464938e-09,0.6786627552997178
original_firstorder_Variance,0,646.9181135350258,235.13251089429286,151.6865487,1435.764247,2.0688703186013083e-07,0.6586206896551725
original_glcm_Autocorrelation,0,15.775683720434884,4.5084357214981035,6.337015501000001,33.70356177,3.240562699077609e-25,0.7878397077544695
original_glcm_ClusterProminence,0,36.72286208925133,22.848817758271,2.018476958,169.5423437,8.569226379181269e-05,0.6308186195826646
original_glcm_ClusterShade,0,-0.32118688234114573,3.6982635007251425,-16.89465561,16.26369047,9.952874119735127e-12,0.6960867880666408
original_glcm_ClusterTendency,0,3.716399052791667,1.4554618226771139,0.772036548,8.912246626,1.6688346634102809e-07,0.6610671389826756
original_glcm_Contrast,0,0.7040107723033845,0.10794664914558466,0.38172253,1.08822264,0.005529076453717039,0.6077544694747329
original_glcm_Correlation,0,0.6473632292747403,0.11257188197434476,0.20449919,0.851746655,3.666436777321969e-07,0.6573808601317319
original_glcm_DifferenceAverage,0,0.5724581460716142,0.05659302770247449,0.35920575200000004,0.746037231,0.015571447606207765,0.5988044501023966
original_glcm_DifferenceEntropy,0,1.2597670572408868,0.06930114131198543,1.0026168579999999,1.472538101,0.002066136881544535,0.613665799523994
original_glcm_DifferenceVariance,0,0.36702887004687496,0.04007624874409776,0.252536798,0.515837847,0.0012673123436241567,0.615553218575303
original_glcm_Id,0,0.7348470999361972,0.02078459323428146,0.678735973,0.824114633,0.04097881836364587,0.5927824209885426
